position_init=[ 0.   0.4 -5. ]

[ 0.01999847  0.4        -5.00024777]
[ 0.03999693  0.4        -5.00049555]
[ 0.0599954   0.4        -5.00074332]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
[ 0.07999386  0.4        -5.00099109]
